"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"DTM","DT Midstream, Inc.","Common stocks","Mid cap","Energy","$4,830,897,159","3.72%","USA","Analyze"
"QLYS","Qualys Inc","Common stocks","Mid cap","Information Technology","$4,806,102,399","0.00%","USA","Analyze"
"SYNA","Synaptics Inc","Common stocks","Mid cap","Information Technology","$4,801,578,553","0.00%","USA","Analyze"
"LHCG","LHC Group Inc","Common stocks","Mid cap","Health Care","$4,791,815,419","0.00%","USA","Analyze"
"KNSL","Kinsale Capital Group Inc","Common stocks","Mid cap","Financials","$4,786,402,326","0.11%","USA","Analyze"
"VMI","Valmont Inds Inc","Common stocks","Mid cap","Industrials","$4,756,500,070","0.92%","USA","Analyze"
"SAFM","Sanderson Farms Inc","Common stocks","Mid cap","Consumer Staples","$4,749,067,252","0.82%","USA","Analyze"
"IRDM","Iridium Communications Inc","Common stocks","Mid cap","Communication Services","$4,747,205,328","0.00%","USA","Analyze"
"SIGI","Selective Insurance Group Inc","Common stocks","Mid cap","Financials","$4,742,570,093","1.38%","USA","Analyze"
"UBSI","United Bankshares Inc","Common stocks","Mid cap","Financials","$4,728,458,336","4.03%","USA","Analyze"
"VAC","Marriott Vacations Worldwide Corp","Common stocks","Mid cap","Consumer Discretionary","$4,725,328,724","1.55%","USA","Analyze"
"MEDP","Medpace Holdings Inc","Common stocks","Mid cap","Health Care","$4,720,019,817","0.00%","USA","Analyze"
"OPCH","Option Care Health, Inc.","Common stocks","Mid cap","Health Care","$4,708,360,768","0.00%","USA","Analyze"
"POST","Post Holdings Inc","Common stocks","Mid cap","Consumer Staples","$4,684,022,198","0.00%","USA","Analyze"
"TGNA","Tegna Inc","Common stocks","Mid cap","Communication Services","$4,670,972,282","1.80%","USA","Analyze"
"IART","Integra Lifesciences Holdings Corp","Common stocks","Mid cap","Health Care","$4,629,795,557","0.00%","USA","Analyze"
"LEG","Leggett & Platt Inc","Common stocks","Mid cap","Consumer Discretionary","$4,627,862,801","4.82%","USA","Analyze"
"HOG","Harley Davidson Inc","Common stocks","Mid cap","Consumer Discretionary","$4,626,204,523","1.95%","USA","Analyze"
"SAIA","Saia Inc","Common stocks","Mid cap","Industrials","$4,612,491,493","0.00%","USA","Analyze"
"PEN","Penumbra Inc","Common stocks","Mid cap","Health Care","$4,600,816,254","0.00%","USA","Analyze"
"LNW","Light & Wonder, Inc.","Common stocks","Mid cap","Consumer Discretionary","$4,589,068,758","0.00%","USA","Analyze"
"AMG","Affiliated Managers Group Inc","Common stocks","Mid cap","Financials","$4,584,789,109","0.03%","USA","Analyze"
"CLH","Clean Harbors Inc","Common stocks","Mid cap","Industrials","$4,576,986,241","0.00%","USA","Analyze"
